TR:mock:CellLine,TR:Ngf,TR:Mek1i,TR:Jnk1i,TR:Pik3r1i,DA:Klf2,DA:Klf4,DA:Btg2,DA:Dusp6,DA:Maff,DA:Jund,DA:Fosl1,DA:Junb,DA:Itga1,DA:Klf5,DA:Klf6,DA:Myc,DA:Pik3ip1,DA:Tieg1,DA:Cited2,DA:Zfp36,DA:Dgka,DA:Prkcd,DA:Plat,DA:Npy,DA:Mmp3,DV:Klf2,DV:Klf4,DV:Btg2,DV:Dusp6,DV:Maff,DV:Jund,DV:Fosl1,DV:Junb,DV:Itga1,DV:Klf5,DV:Klf6,DV:Myc,DV:Pik3ip1,DV:Tieg1,DV:Cited2,DV:Zfp36,DV:Dgka,DV:Prkcd,DV:Plat,DV:Npy,DV:Mmp3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.691545335,1.562714245,0.8554412,2.865206823,3.34772,0.750862183,1.247323797,1.18066,1.00117376,0.639509346,0.563522376,0.93177257,0.574868741,1.042812611,0.723035902,0.516948392,0.577122668,1.029438421,0.788815074,1.468433644,0.936257123
1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.095703633,4.371129935,6.741243644,14.34248599,11.77253035,1.014292509,55.19579808,11.69892938,0.943056285,0.937178562,2.1847161,1.265557475,0.184281838,1.961321793,3.633846093,5.263469464,0.771096582,0.822549525,0.721066266,2.26527765,0.861034225
